event_year,event_week,respiratory_category,percent
2018,22,COVID-19,0.00
2018,22,Influenza,0.02
2018,22,RSV,0.02
2018,22,ILI,1.30
2018,23,Broad Acute Respiratory,8.43
2018,23,COVID-19,0.00
2018,23,Influenza,0.03
2018,23,RSV,0.02
2018,23,ILI,1.36
2018,24,Broad Acute Respiratory,8.01
2018,24,COVID-19,0.00
2018,24,Influenza,0.04
2018,24,RSV,0.02
2018,24,ILI,1.32
2018,25,Broad Acute Respiratory,7.83
2018,25,COVID-19,0.00
2018,25,Influenza,0.02
2018,25,RSV,0.03
2018,25,ILI,1.11
2018,26,Broad Acute Respiratory,7.32
2018,26,COVID-19,0.00
2018,26,Influenza,0.02
2018,26,RSV,0.01
2018,26,ILI,1.03
2018,27,Broad Acute Respiratory,6.51
2018,27,COVID-19,0.00
2018,27,Influenza,0.02
2018,27,RSV,0.01
2018,27,ILI,0.97
2018,28,Broad Acute Respiratory,6.57
2018,28,COVID-19,0.00
2018,28,Influenza,0.02
2018,28,RSV,0.00
2018,28,ILI,0.90
2018,29,Broad Acute Respiratory,6.09
2018,29,COVID-19,0.00
2018,29,Influenza,0.01
2018,29,RSV,0.01
2018,29,ILI,0.91
2018,30,Broad Acute Respiratory,6.22
2018,30,COVID-19,0.00
2018,30,Influenza,0.00
2018,30,RSV,0.00
2018,30,ILI,0.94
2018,31,Broad Acute Respiratory,6.28
2018,31,COVID-19,0.00
2018,31,Influenza,0.00
2018,31,RSV,0.02
2018,31,ILI,0.83
2018,32,Broad Acute Respiratory,6.28
2018,32,COVID-19,0.00
2018,32,Influenza,0.00
2018,32,RSV,0.00
2018,32,ILI,0.92
2018,33,Broad Acute Respiratory,6.32
2018,33,COVID-19,0.00
2018,33,Influenza,0.00
2018,33,RSV,0.01
2018,33,ILI,0.91
2018,34,Broad Acute Respiratory,6.65
2018,34,COVID-19,0.00
2018,34,Influenza,0.00
2018,34,RSV,0.01
2018,34,ILI,0.95
2018,35,Broad Acute Respiratory,7.09
2018,35,COVID-19,0.00
2018,35,Influenza,0.01
2018,35,RSV,0.01
2018,35,ILI,1.07
2018,36,Broad Acute Respiratory,7.69
2018,36,COVID-19,0.00
2018,36,Influenza,0.02
2018,36,RSV,0.02
2018,36,ILI,1.07
2018,37,Broad Acute Respiratory,9.20
2018,37,COVID-19,0.00
2018,37,Influenza,0.02
2018,37,RSV,0.02
2018,37,ILI,1.44
2018,38,Broad Acute Respiratory,8.79
2018,38,COVID-19,0.00
2018,38,Influenza,0.03
2018,38,RSV,0.02
2018,38,ILI,1.41
2018,39,Broad Acute Respiratory,8.78
2018,39,COVID-19,0.00
2018,39,Influenza,0.04
2018,39,RSV,0.01
2018,39,ILI,1.36
2018,40,Broad Acute Respiratory,8.20
2018,40,COVID-19,0.00
