event_year,event_season,respiratory_category,percent
2017,2016-2017,Influenza,0.01
2017,2016-2017,RSV,0.00
2017,2016-2017,ILI,1.04
2017,2016-2017,Broad Acute Respiratory,5.49
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.03
2017,2016-2017,RSV,0.00
2017,2016-2017,ILI,0.98
2017,2016-2017,Broad Acute Respiratory,4.95
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.02
2017,2016-2017,RSV,0.00
2017,2016-2017,ILI,1.00
2017,2016-2017,Broad Acute Respiratory,4.69
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.02
2017,2016-2017,RSV,0.00
2017,2016-2017,ILI,0.76
2017,2016-2017,Broad Acute Respiratory,4.56
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.01
2017,2016-2017,RSV,0.00
2017,2016-2017,ILI,0.72
2017,2016-2017,Broad Acute Respiratory,4.71
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.02
2017,2016-2017,RSV,0.00
2017,2016-2017,ILI,0.81
2017,2016-2017,Broad Acute Respiratory,5.00
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.02
2017,2016-2017,RSV,0.00
2017,2016-2017,ILI,0.98
2017,2016-2017,Broad Acute Respiratory,4.99
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.01
2017,2016-2017,RSV,0.01
2017,2016-2017,ILI,0.86
2017,2016-2017,Broad Acute Respiratory,5.32
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.01
2017,2016-2017,RSV,0.01
2017,2016-2017,ILI,0.80
2017,2016-2017,Broad Acute Respiratory,5.92
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.02
2017,2016-2017,RSV,0.01
2017,2016-2017,ILI,0.88
2017,2016-2017,Broad Acute Respiratory,6.12
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.03
2017,2016-2017,RSV,0.00
2017,2016-2017,ILI,0.89
2017,2016-2017,Broad Acute Respiratory,7.37
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.04
2017,2016-2017,RSV,0.01
2017,2016-2017,ILI,1.24
2017,2016-2017,Broad Acute Respiratory,8.59
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.02
2017,2016-2017,RSV,0.01
2017,2016-2017,ILI,1.51
2017,2016-2017,Broad Acute Respiratory,8.45
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.05
2017,2016-2017,RSV,0.01
2017,2016-2017,ILI,1.35
2017,2016-2017,Broad Acute Respiratory,8.06
2017,2016-2017,COVID-19,0.00
2017,2016-2017,Influenza,0.05
2017,2016-2017,RSV,0.00
2017,2016-2017,ILI,1.35
2017,2017-2018,Broad Acute Respiratory,7.81
2017,2017-2018,COVID-19,0.00
2017,2017-2018,Influenza,0.07
2017,2017-2018,RSV,0.01
2017,2017-2018,ILI,1.51
2017,2017-2018,Broad Acute Respiratory,8.10
2017,2017-2018,COVID-19,0.00
2017,2017-2018,Influenza,0.06
2017,2017-2018,RSV,0.02
2017,2017-2018,ILI,1.49
2017,2017-2018,Broad Acute Respiratory,8.48
2017,2017-2018,COVID-19,0.00
2017,2017-2018,Influenza,0.08
2017,2017-2018,RSV,0.05
2017,2017-2018,ILI,1.65
2017,2017-2018,Broad Acute Respiratory,9.07
2017,2017-2018,COVID-19,0.00
2017,2017-2018,Influenza,0.08
2017,2017-2018,RSV,0.02
2017,2017-2018,ILI,1.67
2017,2017-2018,Broad Acute Respiratory,9.52
2017,2017-2018,COVID-19,0.00
2017,2017-2018,Influenza,0.08
2017,2017-2018,RSV,0.06
2017,2017-2018,ILI,1.74
2017,2017-2018,Broad Acute Respiratory,10.10
2017,2017-2018,COVID-19,0.00
2017,2017-2018,Influenza,0.08
2017,2017-2018,RSV,0.08
2017,2017-2018,ILI,2.01
2017,2017-2018,Broad Acute Respiratory,10.80
2017,2017-2018,COVID-19,0.00
2017,2017-2018,Influenza,0.13
2017,2017-2018,RSV,0.11
2017,2017-2018,ILI,2.05
