season,respiratory_category,visit_type,demographic_group,avg_percent,max_percent,min_percent
2024-2025,ILI,Admissions,Unknown Race/Ethnicity,0.464231,2.23,0.00
2017-2018,COVID-19,ED Visits,Asian Non-Hispanic,0.000000,0.00,0.00
2019-2020,RSV,ED Visits,Asian Non-Hispanic,0.115962,1.42,0.00
2024-2025,COVID-19,Admissions,White Non-Hispanic,0.790000,2.36,0.00
2016-2017,Broad Acute Respiratory,ED Visits,Unknown Race/Ethnicity,5.394808,9.23,1.84
2025-2026,COVID-19,Admissions,Unknown Race/Ethnicity,0.399524,1.78,0.00
2018-2019,Broad Acute Respiratory,ED Visits,Asian Non-Hispanic,10.975192,20.70,4.91
2019-2020,Influenza,Admissions,White Non-Hispanic,0.604808,3.40,0.00
2023-2024,COVID-19,Admissions,Hispanic or Latino,1.413269,3.27,0.17
2020-2021,Influenza,Admissions,Other Race/Ethnicity,0.050769,0.50,0.00
2020-2021,Influenza,Admissions,Unknown Race/Ethnicity,0.038654,0.30,0.00
2021-2022,Influenza,Admissions,White Non-Hispanic,0.117308,0.55,0.00
2023-2024,Influenza,Admissions,Asian Non-Hispanic,0.483462,3.27,0.00
2015-2016,RSV,ED Visits,Black Non-Hispanic,0.032885,0.21,0.00
2015-2016,ILI,ED Visits,Other Race/Ethnicity,1.025192,2.71,0.28
2019-2020,COVID-19,ED Visits,Hispanic or Latino,3.112308,19.02,0.00
2019-2020,RSV,ED Visits,Hispanic or Latino,0.191154,1.34,0.00
2019-2020,RSV,Admissions,Hispanic or Latino,0.326346,2.64,0.00
2020-2021,RSV,ED Visits,Unknown Race/Ethnicity,0.119615,0.81,0.00
2021-2022,ILI,Admissions,Black Non-Hispanic,0.379423,1.22,0.08
2019-2020,ILI,ED Visits,White Non-Hispanic,2.198654,6.10,0.43
2020-2021,COVID-19,ED Visits,Hispanic or Latino,4.085000,13.41,0.22
2020-2021,ILI,ED Visits,Hispanic or Latino,1.015385,2.00,0.30
2021-2022,COVID-19,Admissions,White Non-Hispanic,5.016154,23.64,0.72
2022-2023,RSV,ED Visits,White Non-Hispanic,0.222115,1.49,0.00
2022-2023,Influenza,Admissions,White Non-Hispanic,0.374231,3.06,0.00
2015-2016,Influenza,ED Visits,Hispanic or Latino,0.305769,2.08,0.00
2023-2024,COVID-19,ED Visits,Hispanic or Latino,1.346538,3.03,0.34
2024-2025,Influenza,ED Visits,Black Non-Hispanic,1.310192,6.26,0.00
2024-2025,Broad Acute Respiratory,Admissions,Other Race/Ethnicity,13.652692,24.12,5.46
2021-2022,RSV,ED Visits,Black Non-Hispanic,0.070577,0.30,0.00
2016-2017,ILI,ED Visits,Hispanic or Latino,2.772308,6.33,0.93
2016-2017,Influenza,ED Visits,Unknown Race/Ethnicity,0.090962,0.70,0.00
2017-2018,COVID-19,ED Visits,Hispanic or Latino,0.000000,0.00,0.00
2025-2026,ILI,ED Visits,Other Race/Ethnicity,1.363571,5.38,0.16
2016-2017,COVID-19,ED Visits,White Non-Hispanic,0.000000,0.00,0.00
2023-2024,COVID-19,ED Visits,Asian Non-Hispanic,2.016923,5.88,0.19
2015-2016,Broad Acute Respiratory,ED Visits,White Non-Hispanic,6.388846,9.59,4.42
2016-2017,Broad Acute Respiratory,ED Visits,White Non-Hispanic,8.315577,12.94,4.39
2020-2021,COVID-19,ED Visits,White Non-Hispanic,3.083846,8.33,0.06
